Tabela/View;Português do Brasil (Nativo);Espanhol
E080RAT;Cadastros - Serviços - Rateios;Maestros - Servicios - Prorrateos
E080SER;Cadastros - Serviços;Maestros - Servicios
E080SIF;Tabelas - Serviços - Serviços intermediados X Filiais;Tablas - Servicios - Servicios intermediados X Sucursales
E080SXC;Cadastros - Serviços - Ligação Serviço X CEP;Maestro - Servicios - Conexión Servicio x Código Postal
E080SXT;Cadastros - Serviços - Ligação Serviço X Transação;Registros - Servicios - Relación Servicio X Transacción
E080TSI;Cadastros - Serviços - Tipos de Serviço;Maestros - Servicios - Tipos de Servicio
E080TXM;Cadastros - Serviços - Ligação Tipo de Serviço X Município;Registros - Servicios - Relación Tipo de Servicio X Municipio
E081ATF;Tabelas - Atributos da Venda - Filiais;Tablas - Atributos de la Venta - Sucursal
E081ATV;Tabelas - Atributos da Venda - Dados Gerais;Tablas - Atributos de la Venta - Datos Generales
E081CPG;Tabelas - Atributos da Venda - Condições - Condições de pagamento;Tablas - Atributos de la Venta - Condiciones - Condiciones de pago
E081EIT;Tabelas - Exclusões de Itens de Produto;Tablas - Exclusiones de Elementos de Producto 
E081ETA;Tabelas - Exclusões de Tabelas de Preços de Venda;Tablas - Exclusiones de Tablas de Precios de Venta 
E081ETP;Tabelas - Exclusões de Validades;Tablas - Exclusiones de Caducidades
E081FCE;Tabelas - Tabela de Preços de Frete - Preços por Estados/Cidades;Tablas - Tabla de Precios de Flete - Precios por Estados/Ciudades
E081FDI;Tabelas - Tabela de Preços de Frete - Preços por Distância;Tablas - Tabla de Precios de Flete - Precios por Distancia
E081FLC;Tabelas - Tabela de Preços de Frete - Preços por Localização;Tablas - Tabla de Precios de Flete - Precios por Localización
E081FPE;Tabelas - Tabela de Preços de Frete - Preços por Peso;Tablas - Tabla de Precios de Flete - Precios por Peso
E081FPG;Tabelas - Atributos da Venda - Condições - Formas de Pagamentos;Tablas - Atributos de la Venta - Condiciones - Formas de Pago
E081FVL;Tabelas - Tabela de Preços de Frete - Preços por Valor;Tablas - Tabla de Precios de Flete - Precios por Valor
E081FVO;Tabelas - Tabela de Preços de Frete - Preços por Volume;Tablas - Tabla de Precios de Flete - Precios por Volumen
E081IAB;Tabelas - Atributos da Venda - Itens e Valores Condicionados (Benefícios);Tablas - Atributos de la Venta - Elementos y Valores Condicionados (Beneficios)
E081IAC;Tabelas - Atributos da Venda - Condições;Tablas - Atributos de la Venta - Condiciones
E081ICA;Tabelas - Atributos da Venda - Itens e Valores Condicionais;Tablas - Atributos de la Venta - Elementos y Valores Condicionales
E081IMA;Tabelas - Tabelas de Preços de Venda - Itens por Modelo de Produto e Agrupamento de Preço;Tablas - Tablas de Precios de Venta - Ítems por Modele de Producto y Agrupamiento de Precio
E081ITF;Tabelas - Tabelas de Preços de Venda - Itens por Faixa da Grade;Tablas - Tablas de Precios de Venta - Ítems por Rango de Rejilla
E081ITP;Tabelas - Tabelas de Preços de Venda - Itens de Produto;Tablas - Tablas de Precios de Venta - Ítems de Producto
E081ITS;Tabelas - Tabelas de Preços de Venda - Itens de Serviço;Tablas - Tablas de Precios de Venta - Ítems de Servicio
E081LIP;Tabelas - Tabelas de Preços de Venda - Log dos Itens de Produto;Tablas - Tablas de Precios de Venta - Log de los ítems de Producto
E081LIS;Tabelas - Tabelas de Preços de Venda - Log dos Itens de Serviço;Tablas - Tablas de precios de venta - Registro de artículos de servicio
E081LPR;Tabelas - Tabelas de Preços de Venda - Log Validades;Tablas - Tablas de Precios de Venta - Registro de Validez
E081PFU;Tabelas - Atributos da Venda - Condições - Perfis de Usuário;Tablas - Atributos de la Venta - Condiciones - Perfiles de Usuario
E081TAB;Tabelas - Tabelas de Preços de Venda - Dados Gerais;Tablas - Tablas de Precios de Venta - Datos Generales
E081TES;Tabelas - Tabela de Preço de Venda - ICMS por Estado;Tablas - Tabla de Precio de Venda - ICMS por Estado
E081TFR;Tabelas - Tabela de Preços de Frete - Dados Gerais;Tablas - Tabla de Precios de Flete - Datos Generales
E081TPC;Tabelas - Tabelas de Preços de Venda - Ligação com Condições de Pagamento;Tablas - Tablas de Precios de Venta - Relación con Condiciones de Pago
E081TPF;Tabelas - Tabelas de Preços de Venda - Ligação com Formas de Pagamento;Tablas - Tablas de Precios de Venta - Relación con Formas de Pago
E081TPL;Tabelas - Tabelas de Preços de Venda - Ligação com Filiais;Tablas - Tablas de Precios de Venta - Relación con Sucursales
E081TPR;Tabelas - Tabelas de Preços de Venda - Validades;Tablas - Tablas de Precios de Venta - Validez
E081VFR;Tabelas - Tabela de Preços de Frete - Validades;Tablas - Tablas de Precios de Flete - Validez
E081VGE;Tabelas - Tabelas de Preço de Venda - Valores Garantia Estendida;Tablas - Tablas de Precio de Venta - Valores Garantía Extendida
E081VPP;Tabelas - Tabelas de Preço de Venda - Valores Parcela Protegida;Tablas - Tablas de Precio de Venta - Valores Cuota Protegida
E082ITP;Tabelas - Tabelas de Preços de Fornecedores - Itens de Produto;Tablas - Tablas de Precios de Proveedores - Ítems de Producto
E082ITS;Tabelas - Tabelas de Preços de Fornecedores - Itens de Serviço;Tablas - Tablas de Precios de Proveedores - Ítems de Servicio
E082LIP;Tabelas - Tabelas de Preços de Fornecedores - Log dos Itens de Produto;Tablas - Tablas de Precios de Proveedores - Log de los Ítems de Producto
E082LIS;Tabelas - Tabelas de Preços de Fornecedores - Log dos Itens de Serviço;Tablas - Tablas de precios de proveedores - Registro de artículos de servicio
E082LPR;Tabelas - Tabelas de Preços de Fornecedores - Log Validades;Tablas - Tablas de Precios de Proveedores - Registro de Validez
E082TAB;Tabelas - Tabelas de Preços de Fornecedores - Dados Gerais;Tablas - Tablas de Precios de Proveedores - Datos Generales 
E082TPR;Tabelas - Tabelas de Preços de Fornecedores - Validades;Tablas - Tablas de Precios de Proveedores - Validez
E083EES;Cadastros - Exclusão de Espécies de Origens de Produto;Maestros - Exclusión de Orígenes de Producto
E083EOR;Cadastros - Exclusão de Origens de Produto;Maestros -  Exclusión de Orígenes de Producto
E083ESO;Cadastros - Espécies de Origens de Produto;Maestros - Especies de Orígenes de Producto
E083ORI;Cadastros - Origens de Produto;Maestros - Orígenes de Producto
E083TEO;Cadastros - Tipos de Espécies de Origens de Produto;Maestros - Tipos de Especies de Orígenes de Producto
E084CBM;Cadastros - Máscara Código do Bem - Componentes;Maestros - Máscara Código del Bien - Componentes
E084CBN;Cadastros - Combinações da Máscara Produto;Maestros - Combinaciones de la Máscara Producto
E084CMD;Cadastros - Máscara Derivação - Componentes;Maestros - Máscara Derivación - Componentes
E084CME;Cadastros - Máscara Endereçamento Produto - Componentes;Registros - Máscara Direccionamiento producto - Componentes
E084CPC;Cadastros - Opções da Máscara Produto - Componentes;Maestros - Opciones de la Máscara Producto - Componentes
E084CPJ;Cadastros - Máscara Projeto - Componentes;Maestros - Máscara Proyecto - Componentes
E084CPR;Cadastros - Máscara Produto - Componentes;Maestros - Máscara Producto - Componentes
E084CSL;Cadastros - Máscara Séries e Lotes - Componentes;Maestros - Máscara Series y Lotes - Componentes
E084DFX;Cadastros - Derivações da Faixa;Maestros - Derivaciones del Rango
E084DPG;Cadastros - Proporcionalidade da Faixa da Grade - Derivações;Maestros - Proporcionalidad del Rango de la Rejilla - Derivaciones
E084FXA;Cadastros - Faixas da Grade;Maestros - Rangos de la Rejilla
E084LOP;Cadastros - Liga Opções da Máscara ao Produto;Maestros - Conecta Opciones de la Máscara al Producto
E084MBM;Cadastros - Máscara Código do Bem;Maestros - Máscara Código del Bien
E084MDP;Cadastros - Máscara Derivação;Maestros - Máscara Derivación
E084MEP;Cadastros - Máscara endereçamento do produto;Registros- Máscara Direccionamiento del producto
E084MPC;Cadastros - Opções da Máscara Produto;Maestros - Opciones de la Máscara Producto
E084MPJ;Cadastros - Máscara Projeto;Maestros - Máscara Proyecto
E084MPR;Cadastros - Máscara Produto;Maestros - Máscara Producto
E084MSL;Cadastros - Máscara Séries e Lotes;Maestros - Máscara Series y Lotes
E084PGR;Cadastros - Proporcionalidade da Faixa da Grade - Dados Gerais;Maestros - Proporcionalidad del Rango de la Rejilla - Datos Generales
E085AEC;Cadastros - Clientes - Autenticadores Externos de Créditos de Clientes;Registros - Clientes - Autenticadores Externos de Créditos de Clientes
E085AIC;Cadastros - Clientes - Áreas de Interesse;Maestros - Clientes - Áreas de Interés
E085CAE;Cadastros - Clientes - Consultas de Autenticadores Externos de Créditos;Registros - Clientes - Consultas de Autenticadores Externos de Créditos
E085CCA;Cadastros - Clientes - Categorias Clientes para Análise de Crédito;Registros - Clientes - Categorías Clientes para Análisis de Crédito
E085CCE;Cadastros - Clientes - Ligação Cliente X Tipos de Contas X Eventos;Registros - Clientes - Relación Cliente X Tipos de Cuentas X Eventos
E085CCL;Cadastros - Clientes - Características;Maestros - Clientes - Características
E085CLI;Cadastros - Clientes;Maestros - Clientes
E085CNV;Cadastros - Clientes - Convênio;Registros - Clientes - Convenio
E085COB;Cadastros - Clientes - Endereços de Cobrança;Maestros - Clientes - Direcciones de Cobro
E085COP;Cadastros - Clientes - Informações de Cooperado;Informaciones - Clientes - Informaciones de Cooperado
E085CTA;Cadastros - Clientes - Assuntos X Contatos;Maestros - Clientes - Asuntos x Contactos
E085CTO;Cadastros - Clientes - Contatos;Maestros - Clientes - Contactos
E085CXC;Cadastros - Clientes - Ligação Cliente X Tipos de Contas;Registros - Clientes - Relación Cliente X Tipos de Cuotas
E085CXT;Cadastros - Clientes - Ligação Cliente X Transação;Registros - Clientes - Relación Cliente X Transacción
E085DCV;Cadastros - Clientes - Convênios - Dependentes;Registros - Clientes - Convenios - Dependientes
E085DEP;Cadastros - Clientes - Dependentes;Informaciones - Clientes - Dependientes
E085DIA;Cadastros - Clientes - Dias de Visita/Ligação;Maestros - Clientes - Días de Visita/Llamada
E085ECL;Cadastros - Clientes - Exclusões de Clientes;Registros - Clientes - Exclusiones de Clientes 
E085ECO;Cadastros - Clientes - Exclusões de Endereços de Cobrança;Registros - Clientes - Exclusiones de Dirección de Cobranza 
E085ECT;Cadastros - Clientes - Exclusões de Contatos;Registros - Clientes - Exclusiones de Contactos 
E085EEN;Cadastros - Clientes - Exclusões de Endereços de Entrega;Registros - Clientes - Exclusiones de Dirección de Entrega 
E085EEX;Cadastros - Integrações - Exceção de Exportação;Registros - Integración - Excepción de Exportación
E085EFI;Cadastros - Clientes - Exclusões de Dados Pessoa Física;Registros - Clientes - Exclusiones de Datos Persona Física 
E085EFP;Cadastros - Clientes - Exclusões de Formas de Pagamento;Registros - Clientes - Exclusiones de Formas de Pago 
E085EHC;Cadastros - Clientes - Exclusões de Históricos de Clientes;Maestros - Clientes - Exclusiones de Históricos de Clientes
E085EJU;Cadastros - Clientes - Exclusão de Dados Pessoa Jurídica;Registros - Clientes - Exclusión de Datos Persona Jurídica 
E085ENT;Cadastros - Clientes - Endereços de Entrega;Maestros - Clientes - Direcciones de Entrega
E085EOB;Cadastros - Clientes - Exclusões de Observações;Registros - Clientes - Exclusiones de Observaciones 
E085FIS;Cadastros - Clientes - Dados Pessoa Física;Maestros - Clientes - Datos Persona Física
E085FPG;Cadastros - Clientes - Formas de Pagamento;Maestros - Clientes - Maneras de Pago
E085HBM;Cadastros - Clientes - Histórico de Bens de Cliente;Registros - Clientes - Histórico de Bienes de Cliente
E085HCL;Cadastros - Clientes - Históricos;Maestros - Clientes - Históricos
E085HCO;Cadastros - Clientes - Histórico de Cooperado;Registros - Clientes - Histórico de Cooperado
E085HIN;Cadastros - Clientes - Históricos nos Informantes;Maestros - Clientes - Históricos en los Informantes
E085IMG;Cadastros - Clientes - Imagens;Registros - Clientes - Imágenes
E085INE;Cadastros - Clientes - Inscrição Estadual;Maestros - Clientes - Inscripción Estadual
E085JUR;Cadastros - Clientes - Dados Pessoa Jurídica;Maestros - Clientes - Datos Persona Jurídica
E085LAF;Cadastros - Clientes - Ligação Autenticadores Crédito X Filiais;Registros - Clientes - Relación Autenticadores Crédito X Sucursales
E085MCL;Cadastros - Clientes - Ligação Cliente X Marca;Registros - Clientes - Relación Cliente X Marca
E085OBS;Cadastros - Clientes - Observações;Maestros - Clientes - Observaciones
E085OCO;Cadastros - Clientes - Observações do Cooperado;Registros - Clientes - Observaciones de Cooperado
E085PRO;Cadastros - Clientes - Propriedades;Informaciones - Clientes - Propiedades
E085PVL;Cadastros - Clientes - Parâmetros de Visita/Ligação;Maestros - Clientes - Parámetros de Visita/Llamada
E085RAC;Cadastros - Clientes - Retorno Autenticadores Externo Créditos;Registros - Clientes - Retorno Autenticadores Externo Créditos
E085RAT;Cadastros - Clientes - Rateios;Maestros - Clientes - Prorrateos
E085REP;Cadastros - Clientes - Ligação Representante X Cliente;Maestros - Clientes - Conexión Representante X Cliente
E085RXC;Cadastros - Clientes - Relação Cliente X Cliente;Maestros - Clientes - Relación Cliente X Cliente
E085SCN;Cadastros - Clientes  - Segmentos x CNAE;Maestros - Clientes  - Segmentos x CNAE
E085SPC;Cadastros - Clientes  - Consultas ao SPC;Registros - Clientes  - Consultas al SPC*
E085SPR;Cadastros - Clientes - Propriedades - Subpropriedades;Registros - Clientes - Propiedades - Subpropiedades
E085VCL;Cadastros - Clientes - Histórico de Alteração Fiscal do Cliente;Registros - Clientes - Histórico de Alteración Fiscal del Cliente
E086BAN;Cadastros - Sacados - Contas Bancárias;Maestros - Girados - Cuentas Bancarias
E086SAC;Cadastros - Sacados;Maestros - Girados
E087INF;Cadastros - Referências Comerciais e Bancárias;Maestros - Referencias Comerciales y Bancarias
E088CCL;Tabelas - Certificado de Classificação - Dados Gerais;Tablas - Certificado de Clasificación - Datos Generales
E088LPC;Tabelas - Certificado de Classificação - Ligação Produto ao Certificado de Classificação;Tablas - Certificado de Clasificación - Relación producto al certificado de clasificación
E089DOC;Tabelas - Tipos de Documento;Tablas - Tipos de Documento
E089RAT;Tabelas - Tipos de Documento - Rateios;Tablas - Tipos de Documento - Prorrateos
E090CID;Cadastros - Representantes - Cidades de Atuação;Maestros - Representantes - Ciudades de Actuación
E090ERE;Cadastros - Representantes - Exclusões de Representantes;Registros  - Representantes - Exclusiones de Representantes 
E090HCT;Cadastros - Representantes - Cotas por Agrupamento;Maestros - Representantes - Cuotas por Agrupamiento
E090HFR;Cadastros - Representantes - Hierarquia de Funções;Registros - Representantes - jerarquía de Funciones
E090HRP;Cadastros - Representantes - Históricos;Maestros - Representantes - Históricos
E090INS;Cadastros - Representantes - Controle de Retenção de INSS;Maestros - Representantes - Control de Retención del AFP
E090LRF;Cadastros - Representantes - Ligação Representante X Fornecedor;Maestros - Representantes - Conexión Representante X Proveedor
E090MRE;Cadastros - Representantes - Definições de Representante X Marca;Maestros - Representantes - Definiciones de Representante X Marca
E090OBS;Cadastros - Representantes - Observações;Maestros - Representantes - Observaciones
E090RAT;Cadastros - Representantes - Rateios;Maestros - Representantes - Prorrateos
E090RCP;Cadastros - Representantes - Ligação Representante X Condição Pagamento;Maestros - Representantes - Conexión Representante x Condición de Pago
E090REP;Cadastros - Representantes;Maestros - Representantes
E090RLI;Cadastros - Representantes - Ligação Representante X Lista de Preços;Maestros - Representantes - Conexión Representante x Lista de Precios
E090RTP;Cadastros - Representantes - Ligação Representante X Tabela de Preços;Maestros - Representantes - Conexión Representante x Tabla de Precios
E090VAR;Integrações - Varejo - Parâmetros de representante (vendedor);Integraciones - Venta al Por Menor - Parámetros de representante (vendedor)
E090VRE;Cadastros - Representantes - Histórico de Alteração Fiscal do Representante;Registros - Representantes - Histórico de Alteración Fiscal del Representante
E091ASS;Tabelas - Plano Financeiro - Assuntos;Tablas - Plan Financiero - Asuntos
E091FXA;Tabelas - Plano Financeiro - Relacionamento Contas X Assuntos;Tablas - Plan Financiero - Relación Cuentas X Asuntos
E091FXC;Tabelas - Plano Financeiro - Relacionamento Contas X Centro de Custos Liberados;Tablas - Plan Financiero - Relación Cuentas X Centro de Costos Liberados
E091PLF;Tabelas - Plano Financeiro - Contas;Tablas - Plan Financiero - Cuentos
E091RAP;Tabelas - Plano Financeiro - Rateios Padrões;Tablas - Plan Financiero - Prorrateos Estándares
E091RAT;Tabelas - Plano Financeiro - Rateios;Tablas - Plan Financiero - Prorrateos
E091RFC;Tabelas - Plano Financeiro - Relacionamentos com Centros de Custos;Tablas - Plan Financiero - Relaciones con Centros de Costos
E091RPA;Tabelas - Plano Financeiro - Rateios Padrões (Assunto);Tablas - Plan Financiero - Prorrateos Estándares (Asuntos)
E092TPJ;Tabelas - Projetos - Tipos de Projetos;Tablas - Proyectos - Tipos de Proyectos
E093ETG;Tabelas - Estágios da Produção;Tablas - Etapas de la Producción
E094CET;Cadastros - Especificações Conformidade  Produto - Componentes;Maestros - Especies Conformidad Producto - Componentes
E094ECT;Cadastros - Especificações Conformidade  Produto;Maestros - Especificaciones Conformidad Producto
E095AIF;Cadastros - Fornecedores - Áreas de Interesse;Maestros - Proveedores - Áreas de Interés
E095BAN;Cadastros - Fornecedores - Contas Bancárias;Maestros - Proveedores - Cuentas Bancarias
E095CBO;Cadastro - Produtos - CBO - Classificação brasileira de ocupações;Registro - Productos - CBO* - Clasificación brasileña de ocupaciones
E095CFO;Cadastros - Fornecedores - Características;Maestros - Proveedores - Características
E095CTA;Cadastros - Fornecedores - Assunto X Contato;Maestros - Proveedores - Asunto X Contacto
E095CTO;Cadastros - Fornecedores - Contatos;Maestros - Proveedores - Contactos
E095DAA;Cadastros - Fornecedores - DAP - Acessória Associadas;Registros - Proveedores - DAP - Asesoría Asociadas
E095DAP;Cadastros - Fornecedores - DAP - Declaração de Aptidão ao Pronaf;Registros - Proveedores - DAP - Declaración de Aptitud a Pronaf
E095DEP;Cadastros - Fornecedores - Dependentes;Registros - Proveedores - Dependientes
E095ECT;Cadastros - Fornecedores - Exclusão de Contatos;Maestros - Proveedores - Exclusión de Contactos
E095EED;Cadastros - Fornecedores - Recibo de Pagamento Autônomo de Terceiros;Registros - Proveedores - Recibo de Pago Autónomo de Terceros
E095EFO;Cadastros - Fornecedores - Exclusões de Fornecedores;Maestros - Proveedores - Exclusiones de Proveedores
E095FCP;Cadastros - Fornecedores - Chaves PIXs;Registros - Proveedores - Llaves PIXs
E095FOR;Cadastros - Fornecedores - Cadastros;Maestros - Proveedores - Maestros
E095FOR_REC;Tabelas - Recebimento de Documentos Eletrônicos - Fornecedores;Tablas - Recibimiento de Documentos Electrónicos - Proveedores
E095FPG;Cadastros - Fornecedores - Formas de Pagamento;Maestros - Proveedores - Formas de Pago
E095FXS;Cadastros - Fornecedores - Ligação Fornecedor X Série;Registros - Proveedores - Relación Proveedor X Serie
E095FXT;Cadastros - Fornecedores - Ligação Fornecedor X Transação;Registros - Proveedor - Relación Proveedor X Transacción
E095HFO;Cadastros - Fornecedores - Históricos;Maestros - Proveedores - Históricos
E095INE;Cadastros - Fornecedores - Inscrição Estadual;Maestros - Proveedores - Inscripción Estadual
E095INS;Cadastros - Fornecedores - Controle de Retenção de INSS;Maestros - Proveedores - Control de Retención de AFP
E095LLT;Cadastros - Ligação da Lotação Tributária x Fornecedor por Filial;Registros - Relación de la Capacidad Tributaria x Proveedor por Sucursal
E095LOT;Cadastros - Lotação Tributária;Registros - Capacidad Tributaria
E095OBS;Cadastros - Fornecedores - Observações;Maestros - Proveedores - Observaciones
E095ORM;Cadastros - Fornecedores - Origem das Mercadorias;Maestros - Proveedores - Origen de las Mercancías
E095ORM_REC;Cadastros - Recebimento de Documentos Eletrônicos - Fornecedores - Origem das Mercadorias;Registros - Recepción de Documentos Electrónicos - Proveedores - Origen de las Mercancías
E095RAT;Cadastros - Fornecedores - Rateios;Maestros - Proveedores - Prorrateos
E095SCN;Cadastros - Fornecedores - Segmentos x CNAE;Maestros - Proveedores - Segmentos x CNAE
E095VFO;Cadastros - Fornecedores - Histórico de Alteração Fiscal do Fornecedor;Registros - Proveedores - Histórico de Alteración Fiscal del Proveedor
E096MDR;Tabelas - Controle de Modelos de Relatórios;Tablas - Control de Modelos de Informes
E097MON;Cadastro - Pendências de Montagem;Registros - Pendientes de Montaje
E097OCM;Cadastro - Pendências de Montagem - Ocorrências;Registros - Pendientes de Montaje - Incidentes
E097PEN;Cadastro - Pendências para a Carga;Maestros - Pendencias para la Carga
E097VMO;Cadastro - Pendências de Montagem - Valores;Registros - Pendientes de Montaje - Valores
E098LOG;Tabelas - Identificador de Ponto de Regras/Personalização - Log's;Tablas - Identificador de Punto de Reglas/Personalizado - Log's
E098REG;Tabelas - Identificador de Ponto de Regras/Personalização;Tablas - Identificador de Punto de Reglas/Personalizado
E099ALS;Cadastros - Usuários - Agrupamentos Liberados para Compras;Registros - Usuarios - Agrupamientos Liberados para Compras
E099CAE;Usuários - Dados de Conexão no Autenticador de Crédito;Usuarios - Datos de Conexión no Autenticador de Crédito
E099CCH;Cadastros - Cotas de Compra por Competência - Histórico de alterações;Registros - Cuotas de Compra por Período - Histórico de alteraciones 
E099CCO;Cadastros - Usuários - Cotas de Compra por Competência;Registros - Usuarios - Costos de Compra por Período
E099CER;Cadastros - Usuários - Certificados Digitais;Maestros - Usuarios - Certificados Digitales
E099CPR;Cadastros - Usuários - Cotas de Compra por Competência;Registros - Usuarios - Costos de Compra por Competencia
E099FIN;Cadastros - Usuários - Finanças;Registros - Usuarios - Finanzas
E099GCO;Cadastros - Usuários - Parâmetros Gestão Controladoria;Registros - Usuarios - Parámetros Gestión Contraloría
E099IPE;Cadastros - Usuários - Tabela log de processos executados por usuário;Registros - Usuarios - Tabla log de procesos ejecutados por usuario
E099LAE;Cadastros - Usuários - Cadastro no Autenticador de Crédito;Registros - Usuarios - Registros en el Autenticador de Crédito
E099PAR;Cadastros - Usuários - Parâmetros Fluxo de Caixa (2);Maestros - Usuarios - Parámetros Flujo de Caja (2)
E099PAS;Cadastros - Usuários - Parâmetros Fluxo de Caixa (2) - Distribuição Títulos Anteriores;Maestros - Usuarios - Parámetros Flujo de Caja (2) - Distribución Títulos Anteriores
E099PAT;Cadastros - Usuários - Simulação de Transferência de Saldos Bancários;Maestros - Usuarios - Simulación de Transferencia de Saldos Bancarios
E099PXU;Usuários da rotina de parametrização genérica;Usuario de rutina de parametrización genérica
E099ROT;Parâmetros para rotinas genéricas;Parámetros para rutinas genéricas
E099TPG;Cadastros - Usuários - Últimos Parâmetros Solicitados;Registros - Usuarios - Últimos Parámetros Solicitados 
E099TTM;Cadastros - Usuários - Dados de login com TTM da TAN;Registros - Usuarios - Datos de login con TTM da TAN
E099UAB;Usuários - Abrangência de usuários;Usuarios - Alcance de usuarios
E099UCP;Cadastros - Usuários - Parâmetros Compras;Registros - Usuarios - Parámetros Compras
E099UDE;Cadastros - Usuários - Parâmetros Documentos Eletrônicos;Registro - Usuarios - Parámetros Documentos Electrónicos
E099UPA;Cadastros - Usuários - Tabela processos executados por usuário;Registros - Usuarios - Tabla procesos ejecutados por usuario
E099UPF;Cadastros - Usuários - Parâmetros por fiial;Registros - Usuarios - Parámetros por sucursal
E099USE;Cadastros - Usuários - Extenção;Altas - Usuarios - Extensión
E099USU;Cadastros - Usuários;Maestros - Usuarios
E099UVE;Cadastros - Usuários - Parâmetros Vendas;Registros - Usuarios - Parámetros Ventas
E099UXB;Cadastros - Usuários X Contas Contábeis Liberadas;Maestros - Usuarios X Cuentas Contables Liberadas
E099UXB_HIS;Cadastros - Histórico - Usuários X Contas Contábeis Liberadas;Maestros - Histórico - Usuarios X Cuentas Contables Liberadas
E099UXC;Cadastros - Usuários X Contas Internas Bloqueadas;Maestros - Usuarios X Cuentas Internas Bloqueadas
E099UXF;Cadastros - Usuários X Contas Financeiras Liberadas;Maestros - Usuarios X Cuentas Financieras Liberadas
E099UXP;Cadastros - Usuários X Produtos e Derivações Liberadas;Maestros - Usuarios X Productos y Derivaciones Liberadas
E099UXT;Cadastros - Usuários X Transações Bloqueadas;Maestros - Usuarios X Transacciones Bloqueadas
E099UXU;Cadastros - Usuários X Centro de Custos Liberados;Maestros - Usuarios X Centro de Costos Liberados
E100APR;SGQ - Documentos - Histórico de Aprovações;SGQ - Documentos - Histórico de Aprobaciones
E100COP;SGQ - Documentos - Cópias Físicas;ASGQ - Documentos - Copias Físicas
E100DOC;SGQ - Documentos - Cadastro;ASGQ - Documentos - Maestros
E100HDC;SGQ - Documentos - Históricos;ASGQ - Documentos - Históricos
E100PGQ;SGQ - Parâmetros;ASGQ - Parámetros
E100RDC;SGQ - Documentos - Referências Entre Documentos;ASGQ - Documentos - Referencias Entre Documentos
E100RUC;SGQ - Documentos - Usuários X Cópias Físicas;ASGQ - Documentos - Usuarios X Copias Físicas
E100TDC;SGQ - Documentos - Tipos;ASGQ - Documentos - Tipos
E101CCL;Compra - Controle de Classificação de Laudo;Compra - Control de clasificación de informes
E101DFI;SGQ - Inspeções - Definição de Frequência de Inspeção;SGQ - Inspecciones - Definición de Frecuencia de Inspección
E101ICL;Compra - Controle de Itens de Classificação de Laudo;Compra - Control de Ítems de Clasificación de Informes
E101INP;SGQ - Inspeções - Cadastro;ASGQ - Inspecciones - Maestros
E101PIN;SGQ - Inspeções - Planos;ASGQ - Inspecciones - Planes
E101PSR;SGQ - Inspeções - Ligação Plano de Inspeção X Roteiro de Produção;ASGQ - Inspecciones - Conexión Plan de Inspección X Itinerario de Producción
E101PXI;SGQ - Inspeções - Ligações com Planos;ASGQ - Inspecciones - Conexión con Planes
E101PXV;SGQ - Inspeções - Verificações do Plano;SGQ - Inspecciones - Verificaciones del Plan
E101TCL;Qualidade/Inspeção - Tipos para Classificação de Laudo;Calidad/Inspección: tipos de clasificación de informes
E101VER;SGQ - Verificações padrões de inspeção;ASGQ - Verificaciones estándares de inspección
E102DEI;SGQ - Inspeções - Defeitos Encontrados;ASGQ - Inspecciones - Defectos Encontrados
E102EIN;SGQ - Inspeções - Execução;ASGQ - Inspecciones - Ejecución
E102EIV;SGQ - Execução de Verificações;ASGQ - Ejecución de Verificaciones
E102EPI;SGQ - Inspeções - Execução de Planos;ASGQ - Inspecciones - Ejecución de Planes
E102ICF;SGQ - Inspeções - Inspeções pelo Controle de Frequência;SGQ - Inspecciones - Inspecciones por el Control de Frecuencia
E102RDE;SGQ - Registro de Desvios;ASGQ - Registro de Desvíos
E103CAT;Manutenção - Categorias;Mantenimiento - Categorías
E103CCE;Manutenção - Coleta por Equipamento/Ferramenta;Mantenimiento - Recolecta por Equipamiento/Herramienta
E103CCM;Manutenção - Tipo de Coletas;Mantenimiento - Tipo de Recolectas
E103CEQ;SGQ - Calibração de Equipamentos de Inspeção;ASGQ - Calibración de Equipos de Inspección
E103CGE;Manutenção - Ligação Grupo de Equipamentos/Ferramentas X Tipo de Coleta;Mantenimiento - Relación Grupo de Equipamientos/herramientas X Tipo de Recolecta
E103EMT;Manutenção - Registro de Manutenção;Mantenimiento - Registro de Mantenimiento
E103EQP;Manutenção - Equipamentos;ASGQ - Equipos
E103GRP;Manutenção - Grupo de Equipamentos/Ferramentas;Mantenimiento - Grupo de Equipamientos/Herramientas
E103MVE;Manutenção - Movimento de Estoque;Manutención - Movimiento de depósito
E103OMT;Manutenção - Observações da Execução de Manutenção;Manutención - Observaciones de la Ejecución de Manutención
E103PRI;Manutenção - Prioridades de Manutenção;Manutención - Prioridades de Manutención
E103RPS;Manutenção - Requisição Produto/Serviço;Mantenimiento - Requisición Producto/Servicio
E103SGE;Manutenção - Ligação de Serviço e Grupo de Equipamentos/Ferramentas;Mantenimiento - Relación de Servicio y Grupo de Equipamientos/Herramientas
E103SVF;Manutenção - Concessões de vida/sobrevida equipamento/ferramenta;Manutención - Concesiones de vida/sobrevida equipo/herramienta
E103TCC;Manutenção - Troca de Contador de Tipo de Coleta;Mantenimiento - Cambio de Contador de Tipo de Recolecta
