Tabela/View;Português do Brasil (Nativo);Espanhol
E690APR;Tributos - REINF - Aquisição de Produção Rural;Impuestos - REINF - Adquisición de Producción Rural
E690ARE;Tributos - REINF - Receitas Repassadas para Associação Desportiva - Recursos Repassados;Impuestos - REINF* - Ingresos Repasados para Asociación Deportiva - Recursos Repasados
E690ARJ;Tributos - REINF - Pessoa Jurídica - Identificação do Advogado;Tributos - REINF* - Persona Jurídica - Identificación del Abogado
E690ARP;Tributos - REINF - Pessoa Fisica - Identificação do Advogado;Tributos - REINF* - Persona Física - Identificación del Abogado
E690ARR;Tributos - REINF - Receitas Recebidas por Associação Desportiva - Recursos Recebidos;Impuestos - REINF* - Ingresos Recibidos por Asociación Deportiva - Recursos Recibidos
E690ARV;Tributos - REINF - Pessoa Física - Identificação do Advogado;Tributos - REINF* - Persona Física - Identificación del Abogado
E690BNI;Tributos - REINF - Retenções na Fonte - Beneficiários não identificados;Tributos - REINF* - Retenciones en la Fuente - Beneficiarios no identificados
E690BNP;Tributos - REINF - Beneficiários não identificados - Processos;Impuestos - REINF - Beneficiarios no identificados - Trámites
E690BPA;Tributos - REINF - Pessoa Física - Informações dos dependentes e beneficiários da pensão alimentícia;Impuestos - REINF - Personas Físicas - Información sobre dependientes y beneficiarios de alimentos
E690CIN;Tributos - REINF - Mensagens de retorno do eDOCS;Tributos - REINF* - Mensajes de retorno del eDOCS
E690CON;Tributos - REINF - Detalhamento da receita bruta;Impuestos - REINF* - Detalle del ingreso bruto
E690CPT;Tributos - REINF - Cadastro de Competência;Impuestos - REINF* - Registro de Competencia
E690CRP;Tributos - REINF - Detalhamento da receita bruta - Processos;Tributos - REINF* - Detalle del ingreso bruto - Procesos
E690DDE;Tributos - REINF - Pessoa Física - Detalhamento das Deduções;Tributos - REINF* - Persona Física - Detalle de las Deducciones
E690DPS;Tributos - REINF - Pessoa Física - Dependente do plano de saúde coletivo empresarial;Tributos - REINF* - Persona Física - Dependiente del plan de salud colectivo empresarial
E690DSS;Tributos - REINF - Totalização das Receitas;Tributos - REINF* - Totalización de los Ingresos
E690ICP;Tributos - REINF - Informação da Comercialização de Produção;Tributos - REINF* - Información de la Comercialización de Producción
E690INC;Tributos - REINF - Itens da Nota Fiscal de Entrada;Impuestos - REINF* - Elementos de la Factura de Entrada
E690INV;Tributos - REINF - Itens da Nota Fiscal de Saída;Impuestos - REINF* - Elementos de la Factura de Salida
E690IRE;Tributos - REINF - Pessoa Fisica - Reembolso do titula do plano de saúde coletivo empresarial;Tributos - REINF* - Persona Física - Reembolso del titular del plan de salud colectivo empresarial
E690NFC;Tributos - REINF - Nota Fiscal de Entrada;Impuestos - REINF* - Factura de Entrada
E690NFV;Tributos - REINF - Nota Fiscal de Saída;Tributos - REINF* - Factura de Salida
E690NRE;Tributos - REINF - Número do Recibo;Tributos - REINF* - Número del Recibo
E690OFJ;Tributos - REINF - Origem das retenções dos registros R-4010 e R-4020;Impuestos - REINF - Origen de las retenciones de los registros R-4010 y R-4020
E690OPS;Tributos - REINF - Pessoa Fisica - Identificação da operadora de plano privado de saúde coletivo empresarial de assistência à saúde;Tributos - REINF* - Persona Física - Identificación de la operadora de plan privado de salud colectivo empresarial de asistencia a la salud
E690ORE;Tributos - REINF - Outras Receitas do Esperáculo Desportivo;Tributos - REINF* - Otros Ingresos del Espectáculo Deportivo
E690ORI;Impostos - Resumo das Origens da EFD Reinf;Impuestos - Resumen de las Origenes de la EFD* Reinf*
E690PAR;Tributos - REINF - Processos relacionados a não retenção de CP - Aquisição de Produção Rural;Impuestos - REINF - Procesos relacionados con la no retención de CP - Adquisición de Producción Rural
E690PDS;Tributos - REINF - Processos relacionados a não retenção de CP;Tributos - REINF* - Procesos relacionados a no retención de CP
E690PJU;Tributos - REINF - Pessoa Física - Demais rendimentos decorrentes de decisão judicial.;Tributos - REINF* - Persona Física - Demás rendimientos decurrentes de decisión judicial.
